pair_id,start_gantry_id,start_link_id,longitude,latitude,end_gantry_id,end_link_id,longitude,latitude,distance_km,direction
01F2714S_01F2827S,01F2714S,0000100027110Q,120.361561,23.436367,01F2827S,0000100028300D,120.322192,23.347469,11.3,South
01F2714S_03F2985N,01F2714S,0000100027110Q,120.361561,23.436367,03F2985N,0000300129850Q,120.4812,23.442486,15.8,North
01F2714S_03F3101S,01F2714S,0000100027110Q,120.361561,23.436367,03F3101S,0000300031000D,120.436356,23.361254,23.2,South
01F2827N_01F2714N,01F2827N,0000100128300D,120.322192,23.347469,01F2714N,0000100127110Q,120.361561,23.436367,11.3,North
01F2827N_03F2985N,01F2827N,0000100128300D,120.322192,23.347469,03F2985N,0000300129850Q,120.4812,23.442486,23.7,North
01F2827N_03F3101S,01F2827N,0000100128300D,120.322192,23.347469,03F3101S,0000300031000D,120.436356,23.361254,31.1,South
01F2827S_01F2866S,01F2827S,0000100028300D,120.322192,23.347469,01F2866S,0000100028700D,120.298703,23.320994,3.9,South
01F2866N_01F2827N,01F2866N,0000100128600D,120.298703,23.320994,01F2827N,0000100128300D,120.322192,23.347469,3.9,North
01F2866S_01F2930S,01F2866S,0000100028700D,120.298703,23.320994,01F2930S,0000100029300D,120.265769,23.272589,6.4,South
01F2930N_01F2866N,01F2930N,0000100129300D,120.265769,23.272589,01F2866N,0000100128600D,120.298703,23.320994,6.4,North
01F2930S_01F3019S,01F2930S,0000100029300D,120.265769,23.272589,01F3019S,0000100030200D,120.236422,23.197286,8.9,South
01F2930S_03F3307N,01F2930S,0000100029300D,120.265769,23.272589,03F3307N,0000300133100D,120.35546,23.203276,25.4,North
01F2930S_03F3392S,01F2930S,0000100029300D,120.265769,23.272589,03F3392S,0000300033900D,120.33371,23.132065,24.7,South
01F3019N_01F2930N,01F3019N,0000100130200D,120.236422,23.197286,01F2930N,0000100129300D,120.265769,23.272589,8.9,North
01F3019N_03F3307N,01F3019N,0000100130200D,120.236422,23.197286,03F3307N,0000300133100D,120.35546,23.203276,20.4,North
01F3019N_03F3392S,01F3019N,0000100130200D,120.236422,23.197286,03F3392S,0000300033900D,120.33371,23.132065,19.7,South
01F3019S_01F3083S,01F3019S,0000100030200D,120.236422,23.197286,01F3083S,0000100030800D,120.23327,23.140751,6.4,South
01F3083N_01F3019N,01F3083N,0000100130800D,120.23327,23.140751,01F3019N,0000100130200D,120.236422,23.197286,6.4,North
01F3083S_01F3126S,01F3083S,0000100030800D,120.23327,23.140751,01F3126S,0000100031300D,120.247681,23.104817,4.3,South
01F3126N_01F3083N,01F3126N,0000100131220D,120.247681,23.104817,01F3083N,0000100130800D,120.23327,23.140751,4.3,North
01F3126S_01F3185S,01F3126S,0000100031300D,120.247681,23.104817,01F3185S,0000100031900D,120.253025,23.051311,5.9,South
01F3126S_03F3445N,01F3126S,0000100031300D,120.247681,23.104817,03F3445N,0000300134400D,120.32903,23.085272,14.5,North
01F3126S_03F3496S,01F3126S,0000100031300D,120.247681,23.104817,03F3496S,0000300035000D,120.32517,23.040203,14.2,South
01F3185N_01F3126N,01F3185N,0000100131840D,120.253025,23.051311,01F3126N,0000100131220D,120.247681,23.104817,5.9,North
01F3185N_03F3445N,01F3185N,0000100131840D,120.253025,23.051311,03F3445N,0000300134400D,120.32903,23.085272,13.8,North
01F3185N_03F3496S,01F3185N,0000100131840D,120.253025,23.051311,03F3496S,0000300035000D,120.32517,23.040203,13.4,South
